Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Deceptive Class
trial_lie_001.txt,1,16,1,1,99,25.77,4,6.25,100,81.25,18.75,18.75,18.75,0,0,0,0,0,0,0,18.75,6.25,0,37.5,18.75,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,18.75,25,0,0,0,0,6.25,18.75,0,0,0,0,0,0,0,0,0,18.75,0,0,18.75,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,1
trial_lie_002.txt,1,208,24.14,79.31,41.51,18.67,23.11,11.54,92.31,63.94,21.63,16.83,5.77,0,0.48,10.1,0.48,4.81,7.69,11.06,7.69,7.21,12.5,0.48,20.67,0.48,0,3.85,0,1.44,0.48,0,0.48,0,0.48,0,14.9,0.48,0.48,6.25,4.81,3.85,0.48,0.48,0,1.44,0.48,0.96,1.92,0.96,0.48,0.48,0.48,0,0.48,0,0,3.85,0,0.48,1.92,1.44,0,13.94,3.85,0.96,22.6,6.73,12.5,4.33,0,0,3.85,0,0,0,0.48,0,0.48,0,0.48,0,20.19,12.02,6.73,0,0,0,0,0,0,1.44,0,0,1
trial_lie_003.txt,1,8,1.92,1,99,25.77,8,0,100,75,12.5,12.5,12.5,0,0,0,0,0,0,12.5,12.5,0,0,37.5,12.5,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,12.5,37.5,0,0,0,0,12.5,25,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,12.5,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,12.5,0,0,0,0,0,0,0,0,0,1
trial_lie_004.txt,1,42,1,76.25,1,3.31,42,0,90.48,73.81,38.1,23.81,7.14,0,0,16.67,0,14.29,4.76,4.76,19.05,0,7.14,2.38,26.19,2.38,0,0,0,0,2.38,0,2.38,0,2.38,0,21.43,0,0,2.38,14.29,4.76,0,0,2.38,2.38,0,4.76,0,0,0,0,0,0,0,0,0,4.76,2.38,0,2.38,2.38,0,19.05,4.76,2.38,7.14,2.38,2.38,2.38,0,2.38,0,0,0,2.38,2.38,0,2.38,0,0,0,21.43,11.9,7.14,0,0,0,0,0,0,2.38,0,0,1
trial_lie_005.txt,1,168,4.55,81.4,2.24,3.31,42,6.55,95.83,68.45,32.14,22.62,9.52,0,1.79,11.31,0,9.52,4.17,8.93,10.12,3.57,10.12,1.79,24.4,2.38,2.98,2.98,0,0.6,3.57,0.6,2.98,1.19,0,0,22.02,0,0,1.19,11.31,7.74,2.38,0.6,1.79,2.38,0.6,2.38,4.17,1.79,2.38,0,1.19,0,0.6,0,1.19,3.57,0.6,0.6,1.79,1.19,0,16.67,3.57,2.38,7.74,1.79,3.57,2.38,0,0,0.6,0,0,1.79,1.79,1.19,0.6,0,0,0,17.26,5.36,8.33,0,0,1.79,0,0,0,0.6,0,1.19,1
trial_lie_006.txt,1,57,6.56,24.13,99,58.97,14.25,12.28,92.98,68.42,22.81,19.3,8.77,3.51,0,5.26,1.75,3.51,10.53,8.77,10.53,14.04,7.02,7.02,22.81,1.75,1.75,5.26,0,1.75,1.75,1.75,0,0,0,0,10.53,0,0,5.26,0,12.28,1.75,0,0,0,5.26,5.26,5.26,5.26,0,0,0,0,0,0,0,7.02,3.51,0,1.75,1.75,0,22.81,1.75,0,28.07,3.51,7.02,17.54,0,1.75,1.75,0,0,0,0,0,0,0,0,0,15.79,7.02,5.26,0,0,0,0,0,0,3.51,0,0,1
trial_lie_007.txt,1,116,38.6,56.86,97.46,13.98,12.89,8.62,93.1,59.48,16.38,13.79,9.48,0.86,0,3.45,0,2.59,7.76,12.93,11.21,6.9,10.34,0.86,20.69,2.59,2.59,1.72,1.72,2.59,2.59,0.86,1.72,0,0,0.86,12.07,0,0,0,3.45,5.17,0.86,0,0,2.59,0.86,0.86,1.72,0,0.86,0.86,2.59,0.86,0,0,1.72,12.93,8.62,0.86,0.86,1.72,0.86,9.48,7.76,1.72,25,8.62,12.07,4.31,0,8.62,0,0,0,0,0.86,0,0.86,0,0.86,0,30.17,21.55,6.9,0,0,0,0,0,0,1.72,0,0,1
trial_lie_008.txt,1,31,54.54,25.93,99,25.77,15.5,6.45,96.77,64.52,16.13,9.68,6.45,3.23,0,0,0,6.45,12.9,16.13,9.68,3.23,12.9,6.45,19.35,3.23,3.23,0,0,0,0,0,0,0,0,0,9.68,0,0,0,0,9.68,3.23,0,0,0,0,6.45,0,0,0,0,3.23,0,0,0,3.23,19.35,16.13,0,0,3.23,0,12.9,6.45,0,22.58,9.68,6.45,6.45,0,16.13,0,0,0,0,3.23,0,3.23,0,3.23,0,19.35,12.9,3.23,0,0,0,0,0,0,3.23,0,0,1
trial_lie_009.txt,1,42,4.15,31.71,98.01,25.77,14,19.05,97.62,66.67,26.19,11.9,7.14,2.38,2.38,0,0,14.29,4.76,9.52,9.52,9.52,9.52,4.76,23.81,2.38,0,7.14,0,0,0,0,0,0,0,0,9.52,0,0,0,0,14.29,4.76,0,4.76,2.38,0,7.14,0,0,0,0,0,0,0,0,0,4.76,2.38,0,0,2.38,0,11.9,4.76,2.38,19.05,2.38,9.52,9.52,0,2.38,4.76,0,0,0,4.76,0,2.38,0,4.76,0,35.71,19.05,11.9,0,0,0,0,0,0,4.76,0,0,1
trial_lie_010.txt,1,59,1,11.78,84.61,97.07,7.38,10.17,94.92,67.8,28.81,16.95,13.56,0,0,3.39,0,11.86,0,10.17,23.73,11.86,3.39,3.39,27.12,0,0,0,0,0,5.08,5.08,0,0,0,0,8.47,0,0,0,3.39,16.95,6.78,0,0,3.39,5.08,3.39,0,0,0,0,0,0,0,0,0,6.78,0,6.78,0,0,0,10.17,22.03,1.69,6.78,1.69,3.39,1.69,6.78,0,0,0,0,0,1.69,0,0,0,1.69,0,37.29,22.03,1.69,0,0,0,0,5.08,0,8.47,0,0,1
